frame.number,frame.time_relative,ip.src,ip.dst,ip.proto,frame.len
"5426","217.787000000","122.13.172.153","10.8.0.2","17","185"
"5427","217.868000000","10.8.0.2","122.13.172.153","17","120"
"5428","217.868000000","122.13.172.153","10.8.0.2","17","185"
"5429","217.949000000","10.8.0.2","122.13.172.153","17","118"
"5430","217.953000000","122.13.172.153","10.8.0.2","17","184"
"5431","218.033000000","10.8.0.2","122.13.172.153","17","120"
"5432","218.033000000","122.13.172.153","10.8.0.2","17","169"
"5433","218.104000000","10.8.0.2","122.13.172.153","17","96"
"5434","218.113000000","122.13.172.153","10.8.0.2","17","198"
"5435","218.182000000","10.8.0.2","122.13.172.153","17","118"
"5436","218.189000000","122.13.172.153","10.8.0.2","17","153"
"5437","218.263000000","10.8.0.2","122.13.172.153","17","120"
"5438","218.264000000","10.8.0.2","122.13.172.153","17","406"
"5439","218.274000000","122.13.172.153","10.8.0.2","17","55"
"5440","218.275000000","122.13.172.153","10.8.0.2","17","187"
"5441","218.334000000","10.8.0.2","122.13.172.153","17","96"
"5442","218.342000000","122.13.172.153","10.8.0.2","17","187"
"5443","218.420000000","10.8.0.2","122.13.172.153","17","118"
"5444","218.423000000","122.13.172.153","10.8.0.2","17","176"
"5445","218.503000000","10.8.0.2","122.13.172.153","17","120"
"5446","218.513000000","122.13.172.153","10.8.0.2","17","169"
"5447","218.586000000","10.8.0.2","122.13.172.153","17","113"
"5448","218.589000000","122.13.172.153","10.8.0.2","17","166"
"5449","218.654000000","10.8.0.2","122.13.172.153","17","101"
"5450","218.668000000","122.13.172.153","10.8.0.2","17","198"
"5451","218.743000000","10.8.0.2","122.13.172.153","17","120"
"5452","218.745000000","122.13.172.153","10.8.0.2","17","152"
"5453","218.817000000","10.8.0.2","122.13.172.153","17","96"
"5454","218.829000000","122.13.172.153","10.8.0.2","17","183"
"5455","218.900000000","10.8.0.2","122.13.172.153","17","118"
"5456","218.904000000","122.13.172.153","10.8.0.2","17","167"
